,0
0,Rothaus Tannenzäpfle ist definitiv ein hingucker .
1,Das Etikett ist schön designt und auch das goldene Papier um den Hals sticht hervor .
2,"In das Glas geschenkt , hat es eine schöne Schaumkrone ."
3,Der Geruch ist erstaunlich intensiv .
4,"Strohig , grasig und leichte frucht-nuancen sind vertreten ."
5,"Im Antrunk merkt man direkt , dass es sich hier um ein spritziges , vollmundiges Bier handelt , welches ein erstaunlich weiches Wasser hat ."
6,"Das Bier hat eine schöne , angenehme süße und gleichzeitig eine kräftige herbe , welche perfekt ausbalanciert ist ."
7,"Im Hintergrund bahnen sich leichte Fruchtnoten an , welche allerdings nicht besonders hervorstechen ."
8,Ein sehr gutes Bier !
9,Das Zäpfle Pils ist für mich in Sachen Piils eine Institution !
10,"Schon seit vielen Jahren schmeckt mir dieses Pils ob aus der Flasche , aus der Flasche im Glas oder vom Faß ."
11,Vom Faß natürlich ganz besonders .
12,Das Design der Flasche ist besonders und immernoch sehr schön und zeitlos .
13,Eingeschenkt in ein Pilsglas sieht es schon spritzig und erfrischend aus und bildet einen schönen Schaum .
14,Der Geruch ist für ein PIls sehr angenehm und erstaunlich bierig .
15,Schön gekühlt sieht es nicht nur erfrischend aus sondern schmeckt auch erfrischend und durstlöschend .
16,"Von dem kann man je nach Geselligkeit und Durst mehr trinken , ohne einen Kater erwarten zu müssen ."
17,Hochfein abgestimmt mit schöner Bitternote und guten Hopfengeschmack .
18,Die Würzigkeit ist nicht im Vordergrund .
19,"Anders als für meine Vorredner , ist es zwar ein Massenprodukt , aber es ist trotzdem Genuss für den trinkenden und durchaus in der Lage den Durst über viele hinweg zu stillen ."
20,"Irgendwann kann dann etwas Bitterkeit vordergründig sein , aber zum Essen oder gemütlich trinken kann man dieses Bier sehr wohl des öfteren genießen ."
21,Ein Rothaus-Pils geht immer !
22,"Ein gutes , frisches Pils - besonders süffig an heißen Tagen !"
23,Enes der besten Biere !
24,Ja das Tannenzäpfle ! ist durchaus schon besprochen worden hier .
25,Für mich ist es das Massenbier meiner Wahl .
26,Ich habe es aber selten aus dem Glas getrunken .
27,Wohl an dann .
28,Ins Glas kommt es erstaunlich hell fast zitronengelb und natürlich klar .
29,Eine Blume kommt und geht recht schnell wieder .
30,"In der Nase eher neutral , leichte florale Hopfenanflüge ."
31,Der Antrunk schön rezent und mit recht fülligem Körper für ein Pils .
32,"Das Malz schmeckt dann auch gut durch , ohne jedoch irgendwie muffig zu sein ."
33,"Der Abgang ist wenig bitter , was für en süddeutsches Pils grundsätzlich ok ist , aber man könnte es fast für ein leichtes Export halten Immerhin entschädigen florale Hopfenaromen am Ende ."
34,"Ich tue mir schwer dieses Bier zu bewerten , weil es als Geh-Bier mein regelmäßiger Begleiter ist und daher entsprechend oft aus der Flasche genossen wird ."
35,Asche auf mein Haupt aber ich finde es schmeckt besser aus der Flasche als aus dem Glas .
36,Und das ist ehrlich gesagt kein wirkliches Qualitätsmerkmal .
37,"Daher vergebe ich mit etwas schlechtem Gewissen die besten 6 Öffner , die bisher je vergeben habe ."
38,Ich halte das Tannenzäpfle für deutlich überbewertet .
39,Das Image ist hier wohl für den einen oder anderen Bewertungspunkt verantwortlich .
40,"Mich würd's interessieren , wie die Benotung bei einer Blindverkostung aussähe ."
41,Mir fehlt bei diesem Bier Würze und Geschmacksvielfalt .
42,Die Hopfenbitterkeit ist du . pf und viel zu dominant ohne in irgendeiner Weise interessant zu wirken .
43,Wäre auf der Flasche ein Aldi-Etikett lâge die Bewertung eher bei 4 bis 5 Punkten .
44,"Im Urlaub wieder einmal getrunken , ist als ein Genießerpils ok ."
45,"Anfangs kommt es mir recht würzig-herb vor , nach den ersten Schlücken hab ich mich dran gewöhnt ."
46,"Als süffig würde ich es nicht bezeichnen , ich trinke eher kleine Schlücke und max. zwei 0 , 33er am Abend ."
47,"Mehr geht irendwie nicht , der Abgang gefällt mir nicht . jemand hat ihn hier als "" pappig "" bezeichnet ... das triffts ganz gut ."
48,Das Rothaus Tannenzäpfle steht hellgolden im Glas .
49,Die Schaumkrone ist mittel- bis feinporig und gut standhaft .
50,"Das Etikett kennt glaub ich jedes Kind , mir gefällt es gut ."
51,"Das Bier riecht getreidig , leicht hopfig ."
52,"Der Antrunk ist leicht malzig , im Mittelteil kommen Heu- und Grasnoten zum Vorschein ."
53,"Der Abgang ist schön herb , passt gut zum Mittelteil ."
54,"Ein gutes Pils , toll abgestimmt und schmackhaft ."
55,"Das Tannenzäpfle , 1000 mal getrunken nie bewertet weil es gut ist ."
